# entry       : 11187 
# subentry    : 004 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG) 
# year        : 1960 
# author      : E.G.Bilpuch 
# institute   : 1USADKE 
# reference   : (J,AP,10,455,60) 
# facility    : None
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      1.60000E-03      0.00000E+00      4.30000E+03      0.00000E+00       # Lab                   
      2.50000E-03      0.00000E+00      2.70000E+03      0.00000E+00       # Lab                   
      2.95000E-03      0.00000E+00      2.70000E+03      0.00000E+00       # Lab                   
      7.35000E-03      0.00000E+00      1.30000E+03      0.00000E+00       # Lab                   
      8.00000E-03      0.00000E+00      1.20000E+03      0.00000E+00       # Lab                   
      1.30000E-02      0.00000E+00      9.60000E+02      0.00000E+00       # Lab                   
      1.85000E-02      0.00000E+00      7.30000E+02      0.00000E+00       # Lab                   
      2.80000E-02      0.00000E+00      5.50000E+02      0.00000E+00       # Lab                   
      3.75000E-02      0.00000E+00      4.50000E+02      0.00000E+00       # Lab                   
      4.80000E-02      0.00000E+00      3.90000E+02      0.00000E+00       # Lab                   
      6.90000E-02      0.00000E+00      2.90000E+02      0.00000E+00       # Lab                   
      1.00000E-01      0.00000E+00      2.70000E+02      0.00000E+00       # Lab                   
      2.00000E-01      0.00000E+00      1.90000E+02      0.00000E+00       # Lab                   
