# entry       : 21075 
# subentry    : 005 
# pointer     : XX 
# reaction    : (94-PU-239(N,F),,SIG) 
# year        : 1957 
# author      : W.D.Allen 
# institute   : 2UK HAR 
# reference   : (J,PPS/A,70,573,1957) 
# facility    : {'type': 'CCW', 'x4code': '2UK HAR'} 
# frame       : Lab
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)
      3.00000E-02      0.00000E+00      2.25000E+03      0.00000E+00
      6.00000E-02      0.00000E+00      1.98000E+03      0.00000E+00
      8.00000E-02      0.00000E+00      1.84000E+03      0.00000E+00
      1.20000E-01      0.00000E+00      1.59000E+03      0.00000E+00
      1.50000E-01      0.00000E+00      1.73000E+03      0.00000E+00
      1.75000E-01      0.00000E+00      1.55000E+03      0.00000E+00
      2.00000E-01      0.00000E+00      1.56000E+03      0.00000E+00
      2.20000E-01      0.00000E+00      1.64000E+03      0.00000E+00
      2.40000E-01      0.00000E+00      1.54000E+03      0.00000E+00
      2.75000E-01      0.00000E+00      1.65000E+03      0.00000E+00
      3.00000E-01      0.00000E+00      1.67000E+03      0.00000E+00
      3.30000E-01      0.00000E+00      1.65000E+03      0.00000E+00
      3.50000E-01      0.00000E+00      1.80000E+03      0.00000E+00
      4.45000E-01      0.00000E+00      1.68000E+03      0.00000E+00
      5.00000E-01      0.00000E+00      1.68000E+03      0.00000E+00
      5.50000E-01      0.00000E+00      1.68000E+03      0.00000E+00
      6.50000E-01      0.00000E+00      1.68000E+03      0.00000E+00
      1.00000E+00      0.00000E+00      1.80000E+03      0.00000E+00
      1.50000E+00      0.00000E+00      1.93000E+03      0.00000E+00
      2.00000E+00      0.00000E+00      1.83000E+03      0.00000E+00
      2.50000E+00      0.00000E+00      1.83000E+03      0.00000E+00
      3.00000E+00      0.00000E+00      1.67000E+03      0.00000E+00
